match,bowlingTeam,bowlerName,overs,balls,Maidens,Runs,Wickets,ECON,0s,4s,6s,Wides,NoBalls,Match_ID,total_balls
IndiaVsSouthAfrica,South Africa,Marco Jansen,4,0,0,49,1,12.25,4,5,2,1,1,T20I # 2729,24
IndiaVsSouthAfrica,South Africa,Keshav Maharaj,3,0,0,23,2,7.66,10,3,1,0,0,T20I # 2729,18
IndiaVsSouthAfrica,South Africa,Kagiso Rabada,4,0,0,36,1,9,8,2,2,2,0,T20I # 2729,24
IndiaVsSouthAfrica,South Africa,Aiden Markram,2,0,0,16,0,8,1,0,1,0,0,T20I # 2729,12
IndiaVsSouthAfrica,South Africa,Anrich Nortje,4,0,0,26,2,6.5,7,2,0,2,0,T20I # 2729,24
IndiaVsSouthAfrica,South Africa,Tabraiz Shamsi,3,0,0,26,0,8.66,4,1,1,1,0,T20I # 2729,18
IndiaVsSouthAfrica,India,Arshdeep Singh,4,0,0,20,2,5,12,2,0,0,0,T20I # 2729,24
IndiaVsSouthAfrica,India,Jasprit Bumrah,4,0,0,18,2,4.5,14,2,0,0,0,T20I # 2729,24
IndiaVsSouthAfrica,India,Axar Patel,4,0,0,49,1,12.25,8,5,3,2,0,T20I # 2729,24
IndiaVsSouthAfrica,India,Kuldeep Yadav,4,0,0,45,0,11.25,6,3,3,0,0,T20I # 2729,24
IndiaVsSouthAfrica,India,Hardik Pandya,3,0,0,20,3,6.66,9,1,1,1,1,T20I # 2729,18
IndiaVsSouthAfrica,India,Ravindra Jadeja,1,0,0,12,0,12,0,0,1,0,0,T20I # 2729,6
EnglandVsIndia,England,Reece Topley,3,0,0,25,1,8.33,8,3,1,0,0,T20I # 2724,18
EnglandVsIndia,England,Jofra Archer,4,0,0,33,1,8.25,7,4,0,0,0,T20I # 2724,24
EnglandVsIndia,England,Sam Curran,2,0,0,25,1,12.5,3,2,2,0,0,T20I # 2724,12
EnglandVsIndia,England,Adil Rashid,4,0,0,25,1,6.25,9,3,0,0,0,T20I # 2724,24
EnglandVsIndia,England,Chris Jordan,3,0,0,37,3,12.33,4,0,4,0,0,T20I # 2724,18
EnglandVsIndia,England,Liam Livingstone,4,0,0,24,0,6,9,1,1,1,0,T20I # 2724,24
EnglandVsIndia,India,Arshdeep Singh,2,0,0,17,0,8.5,5,3,0,0,0,T20I # 2724,12
EnglandVsIndia,India,Jasprit Bumrah,2,4,0,12,2,4.5,8,1,0,0,0,T20I # 2724,16
EnglandVsIndia,India,Axar Patel,4,0,0,23,3,5.75,10,0,1,0,0,T20I # 2724,24
EnglandVsIndia,India,Kuldeep Yadav,4,0,0,19,3,4.75,12,2,0,0,0,T20I # 2724,24
EnglandVsIndia,India,Ravindra Jadeja,3,0,0,16,0,5.33,6,1,0,0,0,T20I # 2724,18
EnglandVsIndia,India,Hardik Pandya,1,0,0,14,0,14,1,1,1,0,0,T20I # 2724,6
AfghanistanVsSouthAfrica,Afghanistan,Naveen-ul-Haq,3,0,0,15,0,5,12,2,0,1,0,T20I # 2723,18
AfghanistanVsSouthAfrica,Afghanistan,Fazalhaq Farooqi,2,0,0,11,1,5.5,9,2,0,1,0,T20I # 2723,12
