Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
India,South Africa,India,7 runs,Bridgetown,6/29/2024,T20I # 2729
England,India,India,68 runs,Providence,6/27/2024,T20I # 2724
Afghanistan,South Africa,South Africa,9 wickets,Tarouba,6/26/2024,T20I # 2723
Afghanistan,Bangladesh,Afghanistan,8 runs,Kingstown,6/24/2024,T20I # 2722
Australia,India,India,24 runs,Gros Islet,6/24/2024,T20I # 2721
West Indies,South Africa,South Africa,3 wickets,North Sound,6/23/2024,T20I # 2720
England,USA,England,10 wickets,Bridgetown,6/23/2024,T20I # 2719
Afghanistan,Australia,Afghanistan,21 runs,Kingstown,6/22/2024,T20I # 2717
Bangladesh,India,India,50 runs,North Sound,6/22/2024,T20I # 2716
West Indies,USA,West Indies,9 wickets,Bridgetown,6/21/2024,T20I # 2713
England,South Africa,South Africa,7 runs,Gros Islet,6/21/2024,T20I # 2712
Australia,Bangladesh,Australia,28 runs,North Sound,6/20/2024,T20I # 2711
Afghanistan,India,India,47 runs,Bridgetown,6/20/2024,T20I # 2710
West Indies,England,England,8 wickets,Gros Islet,6/19/2024,T20I # 2709
South Africa,USA,South Africa,18 runs,North Sound,6/19/2024,T20I # 2708
West Indies,Afghanistan,West Indies,104 runs,Gros Islet,6/17/2024,T20I # 2703
New Zealand,PNG,New Zealand,7 wickets,Tarouba,6/17/2024,T20I # 2702
Nether Lands,Sri Lanka,Sri Lanka,83 runs,Gros Islet,6/16/2024,T20I # 2699
Bangladesh,Nepal,Bangladesh,21 runs,Kingstown,6/16/2024,T20I # 2698
Ireland,Pakistan,Pakistan,3 wickets,Lauderhill,6/16/2024,T20I # 2697
Australia,Scotland,Australia,5 wickets,Gros Islet,6/15/2024,T20I # 2689
England,Namibia,England,41 runs,North Sound,6/15/2024,T20I # 2688
New Zealand,Uganda,New Zealand,9 wickets,Tarouba,6/14/2024,T20I # 2682
Nepal,South Africa,South Africa,1 run,Kingstown,6/14/2024,T20I # 2681
Afghanistan,PNG,Afghanistan,7 wickets,Tarouba,6/13/2024,T20I # 2679
England,Oman,England,8 wickets,North Sound,6/13/2024,T20I # 2678
Bangladesh,Nether Lands,Bangladesh,25 runs,Kingstown,6/13/2024,T20I # 2677
West Indies,New Zealand,West Indies,13 runs,Tarouba,06-12-2024,T20I # 2672
USA,India,India,7 wickets,New York,06-12-2025,T20I # 2671
Australia,Namibia,Australia,9 wickets,North Sound,06-11-2026,T20I # 2666
Canada,Pakistan,Pakistan,7 wickets,New York,06-11-2027,T20I # 2665
Bangladesh,South Africa,South Africa,4 runs,New York,06-10-2028,T20I # 2664
Oman,Scotland,Scotland,7 wickets,North Sound,06-09-2029,T20I # 2659
India,Pakistan,India,6 runs,New York,06-09-2030,T20I # 2658
West Indies,Uganda,West Indies,134 runs,Providence,06-08-2031,T20I # 2651
Australia,England,Australia,36 runs,Bridgetown,06-08-2032,T20I # 2650
Nether Lands,South Africa,South Africa,4 wickets,New York,06-08-2033,T20I # 2649
Bangladesh,Sri Lanka,Bangladesh,2 wickets,Dallas,06-07-2034,T20I # 2646
Afghanistan,New Zealand,Afghanistan,84 runs,Providence,06-07-2035,T20I # 2645
Canada,Ireland,Canada,12 runs,New York,06-07-2036,T20I # 2644
Namibia,Scotland,Scotland,5 wickets,Bridgetown,06-06-2037,T20I # 2643
USA,Pakistan,tied,,Dallas,06-06-2038,T20I # 2642
Australia,Oman,Australia,39 runs,Bridgetown,06-05-2039,T20I # 2641
PNG,Uganda,Uganda,3 wickets,Providence,06-05-2040,T20I # 2640
India,Ireland,India,8 wickets,New York,06-05-2041,T20I # 2639
Nepal,Nether Lands,Nether Lands,6 wickets,Dallas,06-04-2042,T20I # 2638
England,Scotland,no result,,Bridgetown,06-04-2043,T20I # 2637
Afghanistan,Uganda,Afghanistan,125 runs,Providence,06-03-2044,T20I # 2636
South Africa,Sri Lanka,South Africa,6 wickets,New York,06-03-2045,T20I # 2635
Namibia,Oman,tied,,Bridgetown,06-02-2046,T20I # 2634
West Indies,PNG,West Indies,5 wickets,Providence,06-02-2047,T20I # 2633
USA,Canada,USA,7 wickets,Dallas,06-01-2048,T20I # 2632
