TeamName,PlayerName,Image,BatingStyle,BowlingStyle,PlayingRole,Description
Afghanistan,Mohammad Nabi,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383215.png",Right-handed,Right-arm off spin,All-rounder,
Afghanistan,Gulbadin Naib,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383231.png",Right-handed,Right-arm fast-medium,Batting all-rounder,
Afghanistan,Rahmanullah Gurbaz,https://static.cricbuzz.com/a/img/v1/152x152/i1/c352440/rahmanullah-gurbaz.jpg,Right-handed,Right-arm medium,"Top-order batter, Wicket-keeper",
Afghanistan,Naveen-ul-Haq,"https://c.ndtvimg.com/2023-04/t8obveto_naveen-ul-haq-_625x300_20_April_23.jpg?im=FeatureCrop,algorithm=dnn,width=806,height=605",Right-handed,Right-arm medium-fast,Bowler,
Afghanistan,Azmatullah Omarzai,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383229.png",Right-handed,Right-arm fast-medium,All-rounder,
Afghanistan,Ibrahim Zadran,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383225.png",Right-handed,Right-arm medium-fast,Opening batter,
Afghanistan,Fazalhaq Farooqi,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383236.png",Right-handed,Left-arm fast,Bowler,
Afghanistan,Karim Janat,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383232.png",Right-handed,Right-arm medium-fast,Bowling all-rounder,
Afghanistan,Rashid Khan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383228.png",Right-handed,Right-arm leg break,Bowling All-rounder,
Afghanistan,Noor Ahmad,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383239.png",Right-handed[a],Left-arm unorthodox spin,Bowler,
Afghanistan,Najibullah Zadran,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383226.png",Left-handed,Right-arm off break,Middle-order batter,
Afghanistan,Mujeeb Ur Rahman,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383240.png",Right-handed,Right-arm off break,Bowler,
Afghanistan,Hazratullah Zazai,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383222.png",Left-handed,Slow left-arm orthodox,Opening batter,
Afghanistan,Nangeyalia Kharote,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383234.png",Left-handed,Slow left-arm orthodox,Bowler,
Australia,Glenn Maxwell,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316657.png",Right-handed,Right-arm off break,Batting-all rounder,
Australia,Mitchell Marsh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316612.png",Right-handed,Right-arm medium,All-rounder,
Australia,David Warner,https://static.cricbuzz.com/a/img/v1/152x152/i1/c352449/david-warner.jpg,Left Handed Bat,Right-arm legbreak,Batsman,
Australia,Nathan Ellis,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/329700/329711.png",Right-handed,Right-arm fast-medium,Bowler,
Australia,Ashton Agar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321500/321559.png",Left-handed,Slow left-arm orthodox,Allrounder,
Australia,Travis Head,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321500/321584.png",Left-handed,Right-arm off break,Top-order batter,
Australia,Marcus Stoinis,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321500/321596.png",Right-handed,Right-arm medium fast,Batting all-rounder,
Australia,Mitchell Starc,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316644.png",Left-handed,Left-arm fast,Bowler,
Australia,Pat Cummins,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316692.png",Right-handed,Right-arm fast,Bowling all-rounder,
Australia,Matthew Wade,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316594.png",Left-handed,Right-arm medium[2],Wicket-keeper-batter,
Australia,Adam Zampa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321500/321549.png",Right-handed,Right-arm Leg-Break,Bowler,
Australia,Tim David,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/340300/340305.png",Right-handed,Right-arm off break,Middle-order batter,
Australia,Josh Hazlewood,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316622.png",Left-handed,Right-arm fast-medium,Bowler,
Bangladesh,Litton Das,//upload.wikimedia.org/wikipedia/commons/thumb/6/69/Liton_Das_%283%29_%28cropped%29.jpg/220px-Liton_Das_%283%29_%28cropped%29.jpg,Right-handed,Right-arm off-spin,Opening-Batter-Wicket Keeper,
Bangladesh,Shakib Al Hasan,//upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Shakib_Al_Hasan_%284%29_%28cropped%29.jpg/220px-Shakib_Al_Hasan_%284%29_%28cropped%29.jpg,Left-handed,Slow left-arm orthodox,All-rounder,
Bangladesh,Najmul Hossain Shanto,//upload.wikimedia.org/wikipedia/commons/thumb/7/75/Najmul_Hossain_Shanto.jpg/220px-Najmul_Hossain_Shanto.jpg,Left-handed,Right-arm off break,Top-order batter,
Bangladesh,Soumya Sarkar,//upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Soumya_Sarkar_%281%29_%28cropped%29.jpg/220px-Soumya_Sarkar_%281%29_%28cropped%29.jpg,Left-handed,Right-arm medium-fast,Middle-oder batter,
Bangladesh,Towhid Hridoy,//upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Flag_of_Bangladesh.svg/23px-Flag_of_Bangladesh.svg.png,Right-handed,Right-arm offbreak,Middle-Order-Batter,
Bangladesh,Tanzim Hasan Sakib,//upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Flag_of_Bangladesh.svg/23px-Flag_of_Bangladesh.svg.png,Right-handed,Right-arm fast-medium,Bowler,
Bangladesh,Rishad Hossain,//upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Flag_of_Bangladesh.svg/23px-Flag_of_Bangladesh.svg.png,Right-handed,Right arm leg break,Bowler,
Bangladesh,Taskin Ahmed,//upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Mahbub_Ali_Zaki_with_Taskin_Ahmed_%28cropped%29.jpg/220px-Mahbub_Ali_Zaki_with_Taskin_Ahmed_%28cropped%29.jpg,Left-handed,Right-arm fast,Bowler,
Bangladesh,Mahedi Hasan,//upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Flag_of_Bangladesh.svg/23px-Flag_of_Bangladesh.svg.png,Right-handed,Right-arm off-break,All-rounder,
Bangladesh,Jaker Ali,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/349300/349343.png",Right-handed,Right Arm Off Spin,Wicket-keeper Batter,
